Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Comment,Comment
Create sunburst visual for web app,PITL1-156,11819,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:56 PM,05/Jul/21 6:46 PM,06/Jul/21 8:42 PM,05/Jul/21 6:46 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00472:i",Sprint 3 - Week 3,,,,,
Create funnel insight for recommendation model,PITL1-155,11818,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:56 PM,05/Jul/21 6:45 PM,06/Jul/21 8:42 PM,05/Jul/21 6:45 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00471:i",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-154,11817,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 6:46 PM,06/Jul/21 8:42 PM,05/Jul/21 6:46 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00472:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-153,11816,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,saurypande,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kv:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-152,11815,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,ga65hif,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kn:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-151,11814,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,zhiyiniu,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kf:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & merge request),PITL1-150,11809,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:40 PM,06/Jul/21 8:42 PM,06/Jul/21 12:40 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00471:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-149,11808,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,zhiyiniu,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:25 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jz:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-148,11807,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,ga65hif,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:25 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jr:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-147,11806,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,saurypande,nikanmog,nikanmog,05/Jul/21 11:28 AM,05/Jul/21 7:53 PM,05/Jul/21 7:53 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jj:",Sprint 3 - Week 3,,,,,
Create Confluence Documentation for PITL1-133,PITL1-146,11805,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,05/Jul/21 10:27 AM,05/Jul/21 10:28 AM,06/Jul/21 8:42 PM,05/Jul/21 10:28 AM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004bx:i",Sprint 3 - Week 2,,,,,
Create bi weekly submission for the sprint,PITL1-145,11711,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,30/Jun/21 1:56 AM,30/Jun/21 1:57 AM,06/Jul/21 8:42 PM,30/Jun/21 1:57 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004bt:i",Sprint 3 - Week 2,,,,,
Update Confluence Document - Developer Recommendation,PITL1-144,11704,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,29/Jun/21 12:08 AM,29/Jun/21 9:29 AM,29/Jun/21 12:12 PM,29/Jun/21 9:29 AM,,0,,Update the confluence document with all the changes made in the model to improve its performance.,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-17,,,"0|i004gn:",,,,,,
Provide updated aggregated JSON response of the refined model,PITL1-143,11703,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,High,Done,saurypande,saurypande,saurypande,29/Jun/21 12:05 AM,29/Jun/21 9:28 AM,29/Jun/21 9:28 AM,29/Jun/21 9:28 AM,,0,,Provide aggregated JSON response provided by the developer recommendation model in the desired format to be displayed on the front-end.,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-17,,,"0|i004gf:",,,,,,
Refine developer recommendation model,PITL1-142,11702,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,High,Done,saurypande,saurypande,saurypande,29/Jun/21 12:01 AM,29/Jun/21 9:29 AM,29/Jun/21 9:29 AM,29/Jun/21 9:29 AM,,0,,Work on the improvement of accuracy and performance of the model. ,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-17,,,"0|i004g7:",,,,,,
Help other team with classification model,PITL1-141,11693,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,26/Jun/21 2:42 PM,28/Jun/21 6:10 PM,28/Jun/21 11:58 PM,28/Jun/21 6:10 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004by:",Sprint 3 - Week 2,,,,,
Create json for chord graph,PITL1-140,11692,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,26/Jun/21 2:41 PM,05/Jul/21 11:25 AM,06/Jul/21 8:42 PM,05/Jul/21 11:25 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004bx:",Sprint 3 - Week 2,,,,,
Getting analysis result in json ,PITL1-139,11691,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:18 PM,05/Jul/21 10:12 AM,06/Jul/21 8:42 PM,05/Jul/21 10:12 AM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004bw:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Finding a proper graph to display output,PITL1-138,11690,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:17 PM,26/Jun/21 12:22 PM,06/Jul/21 8:42 PM,26/Jun/21 12:22 PM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004ev:",,,,,,
Counting lines of code changes per person,PITL1-137,11689,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:16 PM,26/Jun/21 12:21 PM,06/Jul/21 8:42 PM,26/Jun/21 12:21 PM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004en:",,,,,,
Analysing sentiment score of commit messages,PITL1-136,11688,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:15 PM,05/Jul/21 10:12 AM,06/Jul/21 8:42 PM,05/Jul/21 10:12 AM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004bu:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Classifying commit messages by using Classification Model,PITL1-135,11687,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:14 PM,05/Jul/21 10:13 AM,28/Jun/21 11:57 PM,05/Jul/21 10:13 AM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004bt:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Gathering commit messages from open sources,PITL1-134,11686,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 12:13 PM,26/Jun/21 12:43 PM,06/Jul/21 8:42 PM,26/Jun/21 12:43 PM,,0,,,,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,,PITL1-133,,,"0|i004dz:",,,,,,
Developer Performance: lines of code changes & sentiment analysis ,PITL1-133,11685,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,zhiyiniu,zhiyiniu,26/Jun/21 11:58 AM,05/Jul/21 10:27 AM,06/Jul/21 8:42 PM,05/Jul/21 10:27 AM,,0,,"# Data Source: GitLab 
 ** Git commit messages 
 ** Git lines of code changes
 # Goal: Analyze developer performance and sentiment at work 
 # Applied Model: 
 ** Topic Classification Model: 
 *** Commit message --> Model --> Group of lines of code changes
 ** Sentiment Analysis Model:
 *** Commit message --> Model --> Sentiment Score
 # Output:
 ** In each technical skill group (backend, frontend, cloud ...)
 *** get number of lines of code changes 
 *** get sentiment score of lines of code changes",,zhiyiniu,,,,,,,,,,,,,,,,,,,,,,ghx-label-3,,developer performance,To Do,"0|i004dr:",,,,,,
Inital prototype regarding developer recommendation analysis,PITL1-132,11677,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,ga65hif,ga65hif,22/Jun/21 3:46 PM,26/Jun/21 2:29 PM,22/Jun/21 10:15 PM,26/Jun/21 2:29 PM,,0,,"Parse the json, and check if the data can be used in the way imagined",,ga65hif,,,,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,PITL1-131,,,"0|i004bo:",Sprint 3 - Week 1,,,,,
Analyze Developer recommendation model output,PITL1-131,11676,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Out of Date,nikanmog,ga65hif,ga65hif,22/Jun/21 3:44 PM,06/Jul/21 12:32 PM,28/Jun/21 11:57 PM,06/Jul/21 12:32 PM,,0,,The developer recommendation currently shows which developers are best suited for a given task. This information can be used to gain information about how important a developer is.,,ga65hif,,,,,,,,,,,,,,,,,,,,,,ghx-label-1,,Analyze Developer recommendation model output,To Do,"0|i004dj:",,,,,,
Add blacklist funcitonality to commit entropy analysis,PITL1-130,11675,,Improvement,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,ga65hif,ga65hif,22/Jun/21 3:41 PM,26/Jun/21 2:29 PM,06/Jul/21 8:42 PM,26/Jun/21 2:29 PM,,0,,If someone commits a large amount of files (e.g. a library) the model gets much slower. To avoid this issue it is required to be able to blacklsit certain files. At least a rudementary blacklist feature is required.,,ga65hif,,,,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,PITL1-103,,,"0|i004bs:",Sprint 3 - Week 1,,,,,
Add chord insight for synergies to web app,PITL1-129,11643,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/Jun/21 4:11 PM,05/Jul/21 6:45 PM,28/Jun/21 11:57 PM,05/Jul/21 6:45 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00470:",Sprint 3 - Week 1,Sprint 3 - Week 2,Sprint 3 - Week 3,,,
Create a metric that shows developer synergies,PITL1-128,11642,,Task,In Progress,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,ga65hif,nikanmog,nikanmog,18/Jun/21 4:11 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-90,,,"0|i004bb:",Sprint 3 - Week 1,Sprint 3 - Week 2,Sprint 3 - Week 3,,,
Predicted Result Formatting,PITL1-127,11621,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,15/Jun/21 12:34 PM,04/Jul/21 9:40 AM,04/Jul/21 9:40 AM,04/Jul/21 9:40 AM,,0,incidentsimilarity,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i0047z:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Find metrics to evaluate the model performance,PITL1-126,11620,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,15/Jun/21 12:34 PM,04/Jul/21 9:39 AM,04/Jul/21 9:39 AM,04/Jul/21 9:39 AM,,0,TagsSuggestion,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i0047r:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Data Preprocessing and Feature Selection,PITL1-125,11619,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,15/Jun/21 12:33 PM,26/Jun/21 2:30 PM,22/Jun/21 10:13 PM,26/Jun/21 2:30 PM,,0,TagsSuggestion,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i0047j:",Sprint 3 - Week 1,,,,,
Prepare labelled data set suitable for this task,PITL1-124,11618,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,15/Jun/21 12:33 PM,28/Jun/21 5:05 PM,28/Jun/21 5:05 PM,28/Jun/21 5:05 PM,,0,TagsSuggestion,"Data sources: Open source Jira projects, Stack Overflow Q/A data set",,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i0047b:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Create and finalize a model that would be suitable for this task,PITL1-123,11617,,Task,In Progress,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,saurypande,saurypande,saurypande,15/Jun/21 12:31 PM,05/Jul/21 3:55 PM,29/Jun/21 4:43 PM,,,0,TagsSuggestion,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i00473:",Sprint 3 - Week 1,Sprint 3 - Week 2,Sprint 3 - Week 3,,,
Create Confluence page with your research ,PITL1-122,11616,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,15/Jun/21 12:29 PM,04/Jul/21 9:40 AM,04/Jul/21 9:40 AM,04/Jul/21 9:40 AM,,0,,Document all your findings regarding the task of tags prediction in a confluence document.,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-120,,,"0|i0046v:",Sprint 3 - Week 1,Sprint 3 - Week 2,,,,
Change Developer recommendation visual to bar chart,PITL1-121,11614,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,14/Jun/21 8:02 PM,26/Jun/21 2:29 PM,15/Jun/21 12:26 PM,26/Jun/21 2:29 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0046f:",Sprint 3 - Week 1,,,,,
Recommendation of relevant Label Tags for the created incident,PITL1-120,11594,,Epic,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,High,,saurypande,saurypande,saurypande,11/Jun/21 12:04 PM,18/Jun/21 3:36 PM,06/Jul/21 8:42 PM,,,0,TagsSuggestion,"When a user creates an incident, thinking of relevant tags for that incident is a cumbersome task.  Building of recommendation system which will take ""summary"", ""description"" from the user as input and will provide the relevant tags which can be applied to that incident.

The tags could be like ""support"", ""HTML"", ""Java"" and so on. This would also help the team to stay organized. So if someone wants all support-related issues, he can fetch it using the label tag.

Data: Jira 

Model: NLP model is suitable for this task",,saurypande,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,Tags Label suggestion,To Do,"0|i0044f:",,,,,,
Suggested developers as JSON response,PITL1-119,11584,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,09/Jun/21 3:52 PM,10/Jun/21 9:41 PM,10/Jun/21 9:41 PM,10/Jun/21 9:41 PM,,0,,Provide predicted result i.e suggested developers for all the incidents to be displayed on front-end.,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-17,,,"0|i0042f:",,,,,,
Implement spider web visual in web app,PITL1-118,11581,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,09/Jun/21 2:42 PM,14/Jun/21 4:31 PM,09/Jun/21 3:08 PM,14/Jun/21 4:31 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0041j:",Sprint 2 - Week 3,,,,,
Create confluence page for a new epic/ use case that you would like to work on in the next sprint (until Friday 09.06.21),PITL1-117,11580,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,09/Jun/21 2:40 PM,14/Jun/21 7:53 PM,22/Jun/21 10:11 PM,14/Jun/21 7:53 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0041r:",Sprint 2 - Week 3,,,,,
Create confluence page for a new epic/ use case that you would like to work on in the next sprint (until Friday 09.06.21),PITL1-116,11579,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,09/Jun/21 2:40 PM,14/Jun/21 7:53 PM,14/Jun/21 7:53 PM,14/Jun/21 7:53 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0041b:",Sprint 2 - Week 3,,,,,
